,HaulLat,HaulLong,Year,Distance,BottomDepth,Plastic_Weight
453,54.7328,13.726,2016,2641,40,0
454,54.733,12.296,2014,2748,22,0.37
455,54.7332,12.297,2015,2787,22,0
456,54.7332,13.5483,2015,2844,39,0.009
457,54.7333,18.97,2017,2719,92,0.0164
458,54.7338,12.302,2017,2903,22,0
459,54.7343,13.4018,2013,2798,37,0
460,54.7344,12.299,2016,2728,22,0
461,54.7349,13.5512,2016,2849,40,0
462,54.7362,13.5442,2014,2710,39,0
463,54.7362,13.728,2016,2783,41,0
464,54.7376,14.744,2017,2817,52,0
465,54.7377,13.3657,2013,2858,36,0
466,54.7387,12.3068,2012,2935,20,0.012
467,54.7455,13.5248,2015,2975,41,0
468,54.7469,10.1702,2016,2862,25,0
469,54.7478,13.3092,2013,2626,40,0
470,54.748,13.8967,2017,2697,39,0.01
471,54.7498,13.5165,2014,2786,39,0
472,54.75,16.915,2017,2048,29,0.0106
473,54.7505,14.9845,2016,NA,61,0.144
474,54.751,13.733,2015,2846,41,0.064
475,54.7517,16.9033,2015,2036,29,0
476,54.7525,13.945,2013,2987,37,0.003
477,54.753,13.7337,2013,2751,41,0
478,54.7542,13.7347,2012,2771,41,0
479,54.7548,13.273,2012,2822,39,0
480,54.7558,13.2695,2016,2685,39,0
481,54.7559,13.736,2017,2848,41,0.012
482,54.7568,13.2603,2014,2817,39,0.038
483,54.7573,13.4952,2012,2781,40,0.012
484,54.7577,13.9398,2014,2715,39,0
485,54.7583,15.0067,2012,2859,62,0
486,54.76,16.9183,2017,2553,30,0.185
487,54.7602,13.4878,2012,2865,40,0
488,54.7609,15.96,2015,NA,53,0.034
489,54.7617,16.8533,2017,2603,31,0.0064
490,54.7617,18.7233,2016,2946,47,0.1318
491,54.7633,18.7233,2017,2710,49,0.019
492,54.7647,13.4822,2017,2766,41,0.11
493,54.765,15.9483,2016,2785,55,0.056
494,54.765,18.7083,2017,3025,35,0.0167
495,54.7657,13.471,2016,2867,40,0
496,54.7675,14.8002,2012,2820,54,0
497,54.7683,15.9533,2017,1876,54,0.09
498,54.7683,16.86,2016,2877,31,0
