,HaulLat,HaulLong,Year,Distance,Plastic_Weight
477,54.753,13.7337,2013,2751,0
478,54.7542,13.7347,2012,2771,0
479,54.7548,13.273,2012,2822,0
480,54.7558,13.2695,2016,2685,0
481,54.7559,13.736,2017,2848,0.012
482,54.7568,13.2603,2014,2817,0.038
483,54.7573,13.4952,2012,2781,0.012
484,54.7577,13.9398,2014,2715,0
485,54.7583,15.0067,2012,2859,0
486,54.76,16.9183,2017,2553,0.185
487,54.7602,13.4878,2012,2865,0
488,54.7609,15.96,2015,NA,0.034
489,54.7617,16.8533,2017,2603,0.0064
490,54.7617,18.7233,2016,2946,0.1318
491,54.7633,18.7233,2017,2710,0.019
492,54.7647,13.4822,2017,2766,0.11
493,54.765,15.9483,2016,2785,0.056
494,54.765,18.7083,2017,3025,0.0167
495,54.7657,13.471,2016,2867,0
496,54.7675,14.8002,2012,2820,0
497,54.7683,15.9533,2017,1876,0.09
498,54.7683,16.86,2016,2877,0
499,54.7686,10.459,2015,2442,0
500,54.7694,10.4564,2014,2329,0
501,54.7717,15.9483,2017,2660,2.6238
502,54.7717,15.9517,2016,2785,1.0383
503,54.7717,16.8617,2017,2965,0.01
504,54.7718,13.934,2012,2854,0
505,54.7733,14.7993,2013,2865,0
506,54.7733,16.8667,2016,2665,0.0051
507,54.7733,17.0067,2015,2979,0
508,54.7735,14.6922,2017,3141,0
509,54.7749,13.9917,2016,2998,0
510,54.7756,15.6486,2016,NA,0
511,54.7757,13.9158,2017,2898,0.007
512,54.7767,15.3483,2016,2636,0.02
513,54.7767,17.0133,2016,2856,0.006
514,54.7767,18.69,2017,3229,0.0676
515,54.7768,14.9872,2015,2851,0
516,54.777,13.9347,2014,2744,0
517,54.7776,13.9273,2016,2753,0
518,54.7783,18.69,2016,3061,0.012
519,54.779,10.4633,2015,NA,0
520,54.78,17.0083,2016,2628,0
521,54.78,18.685,2015,2518,0.0034
522,54.7804,12.363,2017,2776,0.062
523,54.7808,12.3628,2017,2962,0.721
524,54.781,10.4207,2012,2365,0
525,54.7811,15.6934,2015,2891,0
526,54.7812,14.699,2013,2757,0.032
527,54.7815,12.3632,2015,2997,0.5
528,54.7817,14.95,2017,1821,0
529,54.7818,13.966,2013,2646,0
530,54.7828,13.9737,2013,3008,0
531,54.7833,17.0117,2017,2979,0.0708
532,54.7847,12.3607,2013,2873,0.25
533,54.7853,15.74,2017,2782,0
534,54.7854,14.9452,2016,2990,0
535,54.7857,10.168,2014,NA,0
536,54.7857,12.3602,2014,2731,3.568
537,54.7858,12.361,2014,2704,0.221
538,54.7872,14.9753,2014,2729,0
539,54.7875,10.1654,2014,2337,0
540,54.7875,12.3608,2013,2757,0.006
541,54.7881,10.1687,2015,NA,0
542,54.7883,15.645,2016,2811,0
543,54.7921,15.3046,2015,2791,0
544,54.7925,15.6955,2013,2884,0
545,54.7958,10.1715,2013,2096,0
546,54.7973,15.0353,2016,NA,0.002
547,54.7983,18.6667,2016,2684,0.13
548,54.799,15.3107,2017,2835,0
549,54.7993,13.2338,2017,2883,0.12
550,54.7999,13.9842,2016,2812,0
551,54.8004,15.3101,2013,2769,0
552,54.8006,13.4515,2016,3178,0
553,54.8032,13.2498,2016,3170,0
554,54.8032,15.0153,2012,3067,0
555,54.8035,14.9962,2017,NA,0
556,54.8037,12.9853,2013,2792,0
557,54.8042,13.2382,2017,2784,5.2
558,54.8043,10.3148,2012,2418,0
559,54.8045,13.2392,2013,2736,0.18
560,54.805,13.2325,2015,2871,0.023
561,54.8053,13.2307,2014,2780,0
562,54.8053,15.0047,2016,2800,0.366
563,54.8054,15.005,2017,2819,0
564,54.8055,13.2238,2014,2791,0
565,54.8056,13.4485,2017,2954,0.04
566,54.8058,13.4392,2014,2778,0
567,54.8068,13.2077,2013,2821,0.012
568,54.8073,13.4348,2015,3261,0
569,54.8074,10.2952,2017,3041,0
570,54.8077,13.438,2013,2869,0
571,54.8084,15.3191,2012,2687,0.004
572,54.8094,14.9927,2012,2726,0
573,54.8112,13.2948,2016,2828,0.004
574,54.8113,15.3204,2013,2848,0.012
575,54.812,12.9992,2015,2897,0
576,54.8129,14.9607,2015,NA,0.002
577,54.8135,14.9583,2015,2809,0
578,54.8157,13.4158,2013,2778,5
579,54.8186,10.2787,2014,NA,0
580,54.8201,10.3001,2015,3187,0
581,54.8208,16.0325,2012,2654,0
582,54.8216,10.2675,2016,2789,0
583,54.8233,18.5233,2016,1501,0.06
584,54.8243,16.0355,2013,2895,0
585,54.8282,13.2762,2014,2793,0
586,54.8293,13.2768,2012,2811,0
587,54.83,18.63,2017,3227,0.3194
588,54.8308,15.4597,2015,2796,0
589,54.8317,18.5133,2017,1620,0.0032
590,54.8328,12.6352,2012,2874,0
591,54.8333,16.0433,2017,3168,0.0912
592,54.8333,16.0467,2017,2595,0.1688
593,54.8343,15.6063,2015,2821,0
594,54.835,18.5067,2016,2683,0
595,54.8365,14.7618,2014,2755,0.041
596,54.8376,14.7622,2017,2770,0.104
597,54.8379,15.6229,2017,2809,0
598,54.8383,15.4582,2017,2795,0
599,54.8383,15.9317,2017,2385,0.3959
600,54.8385,14.7652,2014,2834,0
601,54.8397,10.2149,2013,2378,0
602,54.8397,14.7683,2017,2769,0
603,54.84,15.6233,2016,2800,0
604,54.8406,14.7685,2016,2686,0
605,54.8417,16.0567,2016,3028,0.344
606,54.8422,15.6443,2016,NA,0
607,54.8425,15.6442,2017,NA,0.098
608,54.8432,14.771,2013,2673,0.68
609,54.8444,14.7651,2016,NA,0.022
610,54.8448,15.6535,2013,2815,0
611,54.846,15.6608,2015,NA,0
612,54.8468,15.6566,2012,3584,0
613,54.8469,15.7413,2013,2722,0
614,54.847,15.2638,2015,2643,0
615,54.8497,15.45,2012,2815,0
616,54.8499,15.7353,2017,2846,0
617,54.855,15.4456,2013,2867,0
618,54.855,17.5233,2015,2805,9.00E-04
619,54.855,17.5233,2017,2697,6.00E-04
620,54.855,17.525,2016,2595,0
621,54.855,17.5267,2017,3051,0.0562
622,54.855,17.5283,2016,2914,0.035
623,54.856,15.7056,2013,2904,0
624,54.8563,14.7875,2015,2974,0
625,54.8564,13.8933,2016,3144,0
626,54.8567,18.5933,2016,3231,0.098
627,54.8569,13.8783,2016,2772,0
628,54.8573,13.8782,2015,2845,0
629,54.8583,18.675,2016,2686,0.1485
630,54.8593,15.2705,2013,2837,0.044
631,54.8603,15.8509,2017,NA,0
632,54.8605,14.7917,2012,2886,0
633,54.861,15.2743,2016,2754,0.054
634,54.8613,13.8582,2014,2769,0
635,54.8617,15.2741,2015,NA,0
636,54.8617,16.085,2017,2874,0.4407
637,54.8627,14.9905,2014,2704,0
638,54.8632,15.2744,2017,2884,0
639,54.865,18.675,2016,2911,0.0066
640,54.8661,15.2767,2017,NA,0
641,54.8665,14.9927,2017,2803,0
642,54.8668,13.5662,2016,2636,0
643,54.867,15.0245,2016,2811,0.56
644,54.8675,13.8103,2013,2813,0
645,54.8676,15.0257,2016,3109,0
646,54.8676,16.0825,2012,2708,0
647,54.8683,18.5767,2016,2448,0.002
648,54.8688,15.052,2012,2782,0
649,54.87,16.6333,2017,2786,4.00E-04
650,54.8736,13.1992,2017,2846,0
651,54.8741,14.9653,2017,2842,0.002
652,54.8746,15.8612,2012,2985,0
653,54.875,13.359,2015,2997,0.062
654,54.875,16.66,2016,2942,0
655,54.8768,13.2275,2016,2760,0
656,54.877,13.2165,2017,2767,0
657,54.8777,13.2398,2015,2695,0.054
658,54.8777,13.266,2014,2773,0
659,54.8777,14.9668,2016,NA,0.006
660,54.878,13.2125,2014,2763,0
661,54.878,13.2647,2013,2828,0
662,54.8783,13.301,2016,2817,0
663,54.8783,16.6983,2016,2676,0.017
664,54.8785,13.277,2013,2870,0
665,54.8792,12.589,2016,2990,0
666,54.88,16.69,2015,3106,0.038
667,54.88,16.6933,2017,2878,0.0146
668,54.8817,12.6123,2015,2839,0
669,54.8818,14.9657,2014,2780,0
670,54.8823,12.6065,2015,2878,0
671,54.8823,12.6068,2014,2750,0.022
672,54.8824,12.6105,2016,2816,0
673,54.8824,12.6165,2017,3014,0.007
674,54.8828,12.614,2013,2847,1.034
